Time (ms),ENC_POS_BHG2_Z_t=4680,DAC_BHG2_Z_t=4680,ENC_POS_BHG2_BF_VCM_t=4680,BHG2_ADC_PORT_BF_CAL_t=4680,GMP_OCA_PORT_20_t=4680,GMP_OCA_PORT_27_t=4680,GMP_OCA_PORT_28_t=4680
3.625,-5348.0,-358,947.6,976.5,1,-235.560699,-243.576752
3.75,-5348.5,-158,947.6,976.1999999999999,1,-235.84668,-238.184906
3.875,-5348.5,-329,947.6,976.1999999999999,1,-235.852768,-244.032623
4.0,-5349.0,-145,947.7,976.5,1,-235.745239,-238.635651
4.125,-5349.0,-324,947.7,975.9,1,-235.600815,-244.478699
4.25,-5349.5,-144,947.9000000000001,976.8,1,-235.454941,-239.076752
4.375,-5349.5,-325,948.0,976.5,1,-241.990799,-238.24736
4.5,-5350.0,-146,948.1,976.1999999999999,1,-236.675385,-238.0457
4.625,-5350.0,-326,948.2,976.8,1,-242.360611,-238.107117
4.75,-5350.5,-147,948.2,977.0999999999999,1,-236.729187,-238.264496
4.875,-5350.5,-328,948.3000000000001,976.8,1,-242.341415,-238.441498
5.0,-5351.0,-149,948.3000000000001,977.0999999999999,1,-236.745483,-238.603668
5.125,-5351.5,-116,948.2,976.1999999999999,1,-235.77211,-232.069229
5.25,-5351.5,-317,948.2,976.8,1,-235.479965,-237.37291
5.375,-5352.0,-146,948.1,976.8,1,-235.503067,-231.664551
5.5,-5352.0,-330,948.0,976.1999999999999,1,-235.670425,-237.263367
5.625,-5352.5,-151,947.8000000000001,976.1999999999999,1,-229.233444,-238.277939
5.75,-5352.5,-331,947.7,976.8,1,-234.691849,-238.621841
5.875,-5353.0,-150,947.6,976.5,1,-229.175186,-238.64856
6.0,-5353.0,-329,947.5,976.1999999999999,1,-234.989273,-238.52356
6.125,-5353.5,-148,947.5,977.4,1,-229.565765,-238.32637
6.25,-5353.5,-327,947.6,976.1999999999999,1,-235.350388,-238.096878
6.375,-5354.0,-146,947.6,978.0,1,-236.507477,-237.856506
6.5,-5354.0,-324,947.8000000000001,976.1999999999999,1,-236.97435,-237.617798
6.625,-5354.0,-357,947.9000000000001,976.1999999999999,1,-243.780746,-237.388824
6.75,-5354.5,-156,948.1,976.5,1,-238.554977,-237.175079
6.875,-5354.5,-327,948.2,976.1999999999999,1,-244.22612,-230.313492
7.0,-5355.0,-143,948.2,976.8,1,-238.515671,-235.346909
7.125,-5355.0,-322,948.3000000000001,976.1999999999999,1,-244.005295,-229.427765
7.25,-5355.5,-142,948.4000000000001,976.8,1,-238.256485,-234.874664
7.375,-5355.5,-322,948.4000000000001,976.8,1,-243.776413,-229.126541
7.5,-5356.0,-143,948.3000000000001,976.5,1,-238.091187,-234.633148
7.625,-5356.5,-110,948.2,975.9,1,-230.356537,-235.560699
7.75,-5356.5,-312,948.1,976.1999999999999,1,-235.169647,-235.84668
7.875,-5357.0,-141,948.0,977.4,1,-229.316284,-235.852768
8.0,-5357.0,-325,947.9000000000001,976.8,1,-234.945313,-235.745239
8.125,-5357.0,-360,947.7,977.0999999999999,1,-236.08342,-235.600815
8.25,-5357.5,-161,947.6,976.5,1,-236.602692,-235.454941
8.375,-5357.5,-332,947.5,976.1999999999999,1,-236.833862,-241.990799
8.5,-5358.0,-149,947.5,976.5,1,-236.928497,-236.675385
